"X" "Y" "Z"
1 0 -4.99
2 0 -4.98
3 0 -4.97
4 0 -4.96
5 0 -4.95
6 0 -4.94
7 0 -4.93
8 0 -4.92
9 0 -4.91
10 0 -4.9
11 0 -4.89
12 0 -4.88
13 0 -4.87
14 0 -4.86
15 0 -4.85
16 0 -4.84
17 0 -4.83
18 0 -4.82
19 0 -4.81
20 0 -4.8
21 0 -4.79
22 0 -4.78
23 0 -4.77
24 0 -4.76
25 0 -4.75
26 0 -4.74
27 0 -4.73
28 0 -4.72
29 0 -4.71
30 0 -4.7
31 0 -4.69
32 0 -4.68
33 0 -4.67
34 0 -4.66
35 0 -4.65
36 0 -4.64
37 0 -4.63
38 0 -4.62
39 0 -4.61
40 0 -4.6
41 0 -4.59
42 0 -4.58
43 0 -4.57
44 0 -4.56
45 0 -4.55
46 0 -4.54
47 0 -4.53
48 0 -4.52
49 0 -4.51
50 0 -4.5
51 0 -4.49
52 0 -4.48
53 0 -4.47
54 0 -4.46
55 0 -4.45
56 0 -4.44
57 0 -4.43
58 0 -4.42
59 0 -4.41
60 0 -4.4
61 0 -4.39
62 0 -4.38
63 0 -4.37
64 0 -4.36
65 0 -4.35
66 0 -4.34
67 0 -4.33
68 0 -4.32
69 0 -4.31
70 0 -4.3
71 0 -4.29
72 0 -4.28
73 0 -4.27
74 0 -4.26
75 0 -4.25
76 0 -4.24
77 0 -4.23
78 0 -4.22
79 0 -4.21
80 0 -4.2
81 0 -4.19
82 0 -4.18
83 0 -4.17
84 0 -4.16
85 0 -4.15
86 0 -4.14
87 0 -4.13
88 0 -4.12
89 0 -4.11
90 0 -4.1
91 0 -4.09
92 0 -4.08
93 0 -4.07
94 0 -4.06
95 0 -4.05
96 0 -4.04
97 0 -4.03
98 0 -4.02
99 0 -4.01
100 0 -4
101 0 -3.99
102 0 -3.98
103 0 -3.97
104 0 -3.96
105 0 -3.95
106 0 -3.94
107 0 -3.93
108 0 -3.92
109 0 -3.91
110 0 -3.9
111 0 -3.89
112 0 -3.88
113 0 -3.87
114 0 -3.86
115 0 -3.85
116 0 -3.84
117 0 -3.83
118 0 -3.82
119 0 -3.81
120 0 -3.8
121 0 -3.79
122 0 -3.78
123 0 -3.77
124 0 -3.76
125 0 -3.75
126 0 -3.74
127 0 -3.73
128 0 -3.72
129 0 -3.71
130 0 -3.7
131 0 -3.69
132 0 -3.68
133 0 -3.67
134 0 -3.66
135 0 -3.65
136 0 -3.64
137 0 -3.63
138 0 -3.62
139 0 -3.61
140 0 -3.6
141 0 -3.59
142 0 -3.58
143 0 -3.57
144 0 -3.56
145 0 -3.55
146 0 -3.54
147 0 -3.53
148 0 -3.52
149 0 -3.51
150 0 -3.5
151 0 -3.49
152 0 -3.48
153 0 -3.47
154 0 -3.46
155 0 -3.45
156 0 -3.44
157 0 -3.43
158 0 -3.42
159 0 -3.41
160 0 -3.4
161 1 -3.39
162 0 -3.38
163 0 -3.37
164 0 -3.36
165 0 -3.35
166 0 -3.34
167 0 -3.33
168 0 -3.32
169 0 -3.31
170 0 -3.3
171 0 -3.29
172 0 -3.28
173 1 -3.27
174 0 -3.26
175 0 -3.25
176 0 -3.24
177 1 -3.23
178 0 -3.22
179 0 -3.21
180 0 -3.2
181 0 -3.19
182 0 -3.18
183 0 -3.17
184 0 -3.16
185 0 -3.15
186 0 -3.14
187 0 -3.13
188 0 -3.12
189 0 -3.11
190 0 -3.1
191 0 -3.09
192 0 -3.08
193 0 -3.07
194 0 -3.06
195 0 -3.05
196 0 -3.04
197 0 -3.03
198 0 -3.02
199 0 -3.01
200 0 -3
201 0 -2.99
